Origin_airport,Destination_airport,Numtimes,Passengers,Seats,Flights,Distance,Origin_population,Destination_population
ORD,EKO,9,1371,1736,14,1445,17529224,48011
PIA,EKO,2,229,248,2,1365,365232,48011
CMI,EKO,2,226,248,2,1446,200333,48011
RFD,EKO,6,671,744,6,1382,306413,48011
BMI,EKO,4,446,496,4,1406,143366,48011
SPI,EKO,3,332,372,3,1375,204012,48011
ORD,ERI,1,43,100,1,398,17529224,278114
ORD,RNO,31,111847,157164,1127,1671,17529224,315959
MDW,RNO,1,144,218,1,1680,17529224,315959
ORD,CAK,13,20564,42835,668,344,17529224,687989
MDW,FAR,2,288,298,2,571,17529224,168410
ORD,FNT,1,115,150,1,223,17529224,435691
MDW,FNT,3,1107,3633,23,221,17529224,435691
ORD,MIA,116,654827,932481,5132,1197,17529224,9383038
MDW,MIA,5,7035,11033,72,1182,17529224,9383038
PIA,OMA,2,246,248,2,327,365232,742096
ORD,OMA,64,233033,317158,2086,416,17529224,742096
MDW,OMA,41,200241,278077,2099,423,17529224,742096
CMI,OMA,2,206,248,2,409,200333,742096
BMI,OMA,17,12276,34409,311,369,143366,742096
ORD,TPA,58,309444,405115,2633,1012,17529224,2254405
MDW,TPA,4,269,590,4,997,17529224,2254405
ORD,TUL,41,127379,188332,1439,585,17529224,831724
MDW,TUL,6,533,1016,8,583,17529224,831724
ORD,ALB,60,174108,273319,2149,723,17529224,819851
ORD,AUS,65,228742,324775,2838,972,17529224,1104612
MDW,AUS,1,119,173,1,967,17529224,1104612
ORD,BOS,129,853475,1264155,9385,867,17529224,8506878
MDW,DFW,16,136341,182798,1432,797,17529224,9475022
ORD,DFW,134,931119,1517195,11015,802,17529224,9475022
ORD,AFW,1,94,97,1,806,17529224,9475022
MDW,DAL,1,67,122,1,793,17529224,9475022
ORD,DAY,64,133213,252637,3043,240,17529224,859406
MDW,DAY,11,12776,19209,1011,226,17529224,859406
ORD,DLH,8,6386,13582,268,397,17529224,267894
MDW,DLH,1,128,149,1,413,17529224,267894
ORD,EWR,205,922367,1571992,11728,719,17529224,17341505
MDW,EWR,62,112080,204117,1583,711,17529224,17341505
ORD,PIA,36,94098,170001,3025,130,17529224,365232
SPI,PIA,1,37,66,1,56,204012,365232
BMI,PIA,34,11893,33843,984,42,143366,365232
CMI,PIA,2,49,80,2,86,200333,365232
MDW,PUB,1,51,173,1,918,17529224,134919
ORD,PUB,1,88,147,1,913,17529224,134919
ORD,TOL,23,61017,94724,1477,214,17529224,651021
RFD,TOL,1,33,34,1,276,306413,651021
ORD,TUS,18,111245,137735,989,1437,17529224,790333
MDW,TUS,1,158,173,1,1440,17529224,790333
ORD,CWA,31,62478,135016,2446,213,17529224,123082
ORD,ABI,3,255,417,3,924,17529224,153457
BMI,ATL,15,37352,62012,556,533,143366,3872031
MDW,ATL,23,141177,222685,2001,590,17529224,3872031
ORD,ATL,213,1157842,1602518,10312,606,17529224,3872031
ORD,AGS,1,215,243,1,677,17529224,480764
ORD,BUF,69,265413,426208,3466,473,17529224,1151490
RFD,ORD,29,4419,5734,38,63,306413,17529224
CMI,ORD,24,51980,80512,1517,135,200333,17529224
BMI,ORD,23,39310,58080,1277,116,143366,17529224
SPI,ORD,16,12974,29140,668,174,204012,17529224
SPI,MDW,1,60,173,1,168,204012,17529224
ORD,MDW,9,979,1670,10,16,17529224,17529224
MDW,ORD,4,372,436,4,16,17529224,17529224
PIA,ORD,47,100893,171008,3026,130,365232,17529224
CMI,DTW,28,24976,39294,1155,298,200333,8944948
RFD,DTW,25,24712,40095,1179,295,306413,8944948
ORD,DTW,211,795423,1112144,7596,235,17529224,8944948
MDW,DTW,90,386323,655012,5406,229,17529224,8944948
BMI,DTW,27,19538,26838,786,314,143366,8944948
PIA,DTW,2,13,102,3,346,365232,8944948
RFD,DBQ,15,3600,14453,425,84,306413,87879
ORD,DBQ,15,17700,35265,811,147,17529224,87879
ORD,ELP,13,68834,127434,919,1236,17529224,694603
MDW,HOU,28,2472,10319,82,937,17529224,4445918
ORD,IAH,149,538234,786883,6137,925,17529224,4445918
MDW,IAH,9,10041,20893,200,917,17529224,4445918
ORD,HOU,1,46,50,1,945,17529224,4445918
MDW,JAN,33,54590,98487,726,666,17529224,483863
ORD,MKL,1,59,149,1,443,17529224,100502
ORD,JAC,5,15371,23964,128,1162,17529224,19683
ORD,LAN,22,54633,79732,1423,179,17529224,450303
MDW,LAN,12,9809,19024,997,176,17529224,450303
PIA,LNK,1,78,86,1,371,365232,251921
MDW,LNK,11,9566,11764,68,473,17529224,251921
ORD,LNK,39,66491,97483,722,466,17529224,251921
ORD,LBB,1,139,139,1,951,17529224,235445
CMI,MSN,1,16,46,1,221,200333,498146
ORD,MSN,79,275289,408937,5027,109,17529224,498146
MDW,MSN,12,10416,19423,1018,124,17529224,498146
ORD,MEM,89,179962,276032,2338,491,17529224,1156598
ORD,MAF,2,329,550,4,1048,17529224,119120
ORD,OAK,34,109831,145692,1140,1835,17529224,3998233
MDW,MCO,24,161872,224590,1304,989,17529224,1502837
ORD,MCO,91,474833,577909,3372,1005,17529224,1502837
BMI,MCO,9,19701,29918,243,936,143366,1502837
ORD,OSH,2,133,188,2,142,17529224,149995
MWA,PAH,1,9,19,1,49,61348,97862
ORD,PHX,101,670577,826547,4946,1440,17529224,2930726
MDW,PHX,22,88542,133732,715,1444,17529224,2930726
ORD,RDU,81,290395,470615,3386,647,17529224,721489
ORD,ROA,6,8671,8671,440,531,17529224,277424
ORD,MBS,39,85830,155420,1344,222,17529224,210032
MDW,MBS,4,274,427,4,222,17529224,210032
RFD,MBS,1,21,34,1,271,306413,210032
ORD,SEA,90,600748,771974,4871,1721,17529224,5831556
ORD,GEG,26,46331,61960,542,1498,17529224,408221
ORD,ICT,36,73002,151015,1325,588,17529224,571047
MDW,ICT,5,652,747,6,589,17529224,571047
ORD,AMA,2,268,278,2,879,17529224,215931
ORD,ATW,12,105920,160616,1703,160,17529224,194863
ORD,BIL,7,2876,3140,25,1060,17529224,135639
CMI,COU,1,12,19,1,227,200333,138694
MDW,CMH,76,265519,479660,3667,284,17529224,1544395
ORD,CMH,84,292761,406871,3965,296,17529224,1544395
ORD,BDL,87,341442,570152,4148,783,17529224,1109081
MDW,BDL,1,166,173,1,777,17529224,1109081
ORD,HNL,27,181268,206299,718,4243,17529224,871768
ORD,NQX,1,80,150,1,1251,17529224,80853
ORD,MTJ,4,2431,2772,22,1081,17529224,30790
RFD,MKG,1,14,34,1,160,306413,166849
MDW,LGA,10,53980,75832,410,725,17529224,34683010
ORD,LGA,102,978965,1410447,9914,733,17529224,34683010
MDW,JFK,14,90852,128389,737,732,17529224,34683010
ORD,JFK,70,67903,118048,793,740,17529224,34683010
ORD,PWM,32,92610,153601,1162,900,17529224,465099
ORD,PDX,62,348818,466606,2739,1739,17529224,1829786
ORD,RIC,57,97864,151288,1248,642,17529224,1046355
BMI,RFD,16,420,1125,33,119,143366,306413
ORD,SJC,61,298638,430681,3193,1829,17529224,1690832
ORD,SYR,52,165926,276163,2161,607,17529224,652649
ORD,ABE,41,65072,113561,993,654,17529224,714749
ORD,ANC,6,28163,34930,184,2846,17529224,311411
ORD,AVL,1,22,126,1,536,17529224,345931
ORD,BWI,104,422116,539482,3085,621,17529224,2480971
MDW,BWI,37,259882,356928,2797,611,17529224,2480971
ORD,CMI,24,49801,81054,1527,135,17529224,200333
DEC,CMI,1,12,19,1,34,113675,200333
PIA,CMI,1,17,66,1,86,365232,200333
BMI,CMI,30,8701,20302,578,46,143366,200333
ORD,CLT,101,304154,411267,3320,599,17529224,1223835
MDW,CLE,93,362435,559818,4689,307,17529224,2121415
ORD,CLE,171,448307,700588,5560,316,17529224,2121415
ORD,GRB,45,115095,178084,2995,174,17529224,268695
MDW,GRB,1,132,149,1,188,17529224,268695
ORD,AZO,35,77761,154684,2736,122,17529224,305264
RFD,AZO,11,206,850,25,182,306413,305264
ORD,TYS,30,64993,113245,1027,475,17529224,602012
PIA,LSE,1,29,34,1,236,365232,121692
ORD,LSE,21,26601,50208,1154,215,17529224,121692
ORD,LFT,2,242,298,2,843,17529224,233598
ORD,LAS,96,576252,678300,3757,1515,17529224,1161259
MDW,LAS,32,94164,131792,839,1521,17529224,1161259
ORD,LEX,12,53246,80478,834,323,17529224,383065
ORD,MKE,94,282853,493514,5917,67,17529224,1459602
MDW,MKE,14,15482,26397,1371,81,17529224,1459602
ORD,BNA,79,230164,294461,2521,409,17529224,1229700
MDW,BNA,37,216958,378766,3049,395,17529224,1229700
ORD,RST,17,73235,133860,1373,268,17529224,154991
MDW,RST,1,132,149,1,282,17529224,154991
PIA,RST,1,16,34,1,266,365232,154991
ORD,ROC,71,238403,416412,3443,528,17529224,1020109
ORD,SAN,74,410425,522524,3548,1723,17529224,2766123
ORD,SNA,46,304708,487392,2849,1726,17529224,11947589
PIA,STC,1,13,34,1,403,365232,162850
MWA,STL,24,10025,19448,961,100,61348,2655631
PIA,STL,52,66645,138974,2795,137,365232,2655631
UIN,STL,12,8653,18753,987,94,77518,2655631
BMI,STL,35,47448,78352,3068,142,143366,2655631
SPI,STL,40,40215,71712,3597,84,204012,2655631
CMI,STL,14,32155,50727,2665,143,200333,2655631
ORD,STL,147,647182,982007,7800,258,17529224,2655631
MDW,STL,37,389894,682952,5279,251,17529224,2655631
DEC,STL,13,17643,33850,1781,110,113675,2655631
ORD,BHM,30,57629,84420,728,584,17529224,1036121
MDW,BHM,33,60867,95685,705,570,17529224,1036121
UIN,BRL,3,30,57,3,58,77518,50690
ORD,BTV,35,79284,120565,905,763,17529224,192689
ORD,CRW,8,6012,15742,176,416,17529224,311540
ORD,CVG,110,365358,687573,6038,264,17529224,1978593
ORD,DSM,85,208940,325448,3198,299,17529224,462181
MDW,DSM,11,11059,18829,991,306,17529224,462181
SPI,EVV,1,10,19,1,170,204012,335926
ORD,EVV,20,43618,73348,1429,273,17529224,335926
CMI,EVV,1,46,46,1,144,200333,335926
MWA,EVV,1,10,19,1,83,61348,335926
CMI,FWA,1,29,38,2,175,200333,371629
ORD,FWA,34,103356,179074,2797,157,17529224,371629
MDW,FWA,1,35,100,1,144,17529224,371629
BMI,FWA,1,23,34,1,199,143366,371629
ORD,GSO,48,76468,124870,1048,590,17529224,599064
ORD,GSP,1,90,107,1,577,17529224,524183
ORD,MDT,63,179745,277867,2489,594,17529224,499340
ORD,HSV,2,188,194,2,510,17529224,340255
MDW,MHT,21,32673,52662,411,838,17529224,362477
ORD,MHT,33,99323,131391,972,843,17529224,362477
RFD,MCW,1,17,34,1,226,306413,53815
ORD,MGM,4,3902,8242,163,673,17529224,334554
ORD,MWH,1,175,287,1,1580,17529224,70667
ORD,PIT,129,334803,502365,4013,412,17529224,2418452
MDW,PIT,14,68703,125404,1035,402,17529224,2418452
MDW,PVD,36,64605,89313,714,842,17529224,1504679
ORD,PVD,41,249426,300086,2148,849,17529224,1504679
PIA,RAP,1,108,124,1,722,365232,108937
ORD,RAP,4,814,868,7,779,17529224,108937
RFD,RAP,3,351,372,3,717,306413,108937
ORD,SMF,35,153941,194918,1424,1781,17529224,1707530
MDW,SHV,2,179,194,2,726,17529224,359802
ORD,SHV,7,7191,14036,278,733,17529224,359802
CMI,SBN,1,26,66,1,154,200333,308160
BMI,SBN,1,39,46,1,160,143366,308160
PIA,SBN,1,44,46,1,190,365232,308160
ORD,SBN,42,150225,241954,4138,84,17529224,308160
ORD,TWF,1,87,108,1,1358,17529224,80179
ORD,DCA,106,769145,1195790,8874,612,17529224,9079986
MDW,IAD,16,68650,119061,1097,577,17529224,9079986
ORD,IAD,96,211459,363959,1765,589,17529224,9079986
ORD,YNG,12,14219,22336,349,378,17529224,603407
ORD,ABQ,17,64721,80958,582,1118,17529224,692551
MDW,ABQ,2,255,346,2,1121,17529224,692551
RFD,BMI,13,517,1125,33,119,306413,143366
CMI,BMI,28,10467,21469,608,46,200333,143366
ORD,BMI,23,37979,58270,1281,116,17529224,143366
SPI,BMI,4,76,145,4,59,204012,143366
PIA,BMI,29,11230,33571,985,42,365232,143366
ORD,CHA,7,10471,10471,518,501,17529224,460100
ORD,GTF,1,69,139,1,1210,17529224,78558
MDW,MCI,63,616731,939815,7146,405,17529224,1795891
ORD,MCI,84,419890,569974,3952,403,17529224,1795891
MDW,LIT,35,31350,45250,365,544,17529224,579683
ORD,LAX,148,1286974,1908929,11547,1744,17529224,23895178
MDW,LAX,18,124752,183393,856,1750,17529224,23895178
BMI,MSP,4,45,204,6,374,143366,2830434
ORD,MSP,180,801031,1404164,12302,334,17529224,2830434
MDW,MSP,72,344252,528236,4356,349,17529224,2830434
PIA,MSP,29,24754,40176,1176,342,365232,2830434
CMI,MSP,1,10,34,1,419,200333,2830434
RFD,MSP,19,6054,22243,691,278,306413,2830434
ORD,MSY,64,217389,287657,2063,837,17529224,1285396
ORD,SAT,64,195774,249765,2172,1041,17529224,1650418
SPI,BFF,1,120,124,1,742,204012,36892
BMI,BFF,1,123,124,1,770,143366,36892
CMI,BFF,1,121,124,1,810,200333,36892
RFD,BFF,2,216,248,2,746,306413,36892
ORD,BFF,2,230,248,2,808,17529224,36892
MDW,BFF,2,103,245,2,817,17529224,36892
ORD,FSD,5,424,611,5,462,17529224,175077
ORD,SPI,15,12495,29155,668,174,17529224,204012
DEC,SPI,1,18,19,1,43,113675,204012
BMI,SPI,3,48,95,3,59,143366,204012
PIA,SPI,2,63,132,2,56,365232,204012
CMI,SPI,1,9,19,1,76,200333,204012
SPI,SGF,3,580,2312,68,269,204012,345603
ORD,CID,74,154139,275028,3234,196,17529224,228316
PIA,CID,6,105,510,15,135,365232,228316
ORD,POB,2,6869,8700,174,672,17529224,314572
CMI,GRR,1,24,30,1,243,200333,711725
ORD,GRR,81,235040,370956,4334,137,17529224,711725
MDW,GRR,11,12640,19665,1035,137,17529224,711725
SPI,IND,1,45,50,1,181,204012,1438091
ORD,IND,103,357821,503332,5182,177,17529224,1438091
MDW,IND,57,161142,255119,2842,162,17529224,1438091
ORD,JAX,31,65376,89654,725,865,17529224,1064764
MDW,JAX,1,139,173,1,849,17529224,1064764
MDW,MYR,10,15759,28918,243,738,17529224,174555
ORD,PHL,162,614441,1160468,9918,678,17529224,11020546
MDW,PHL,6,666,973,7,668,17529224,11020546
MDW,OKC,7,886,1358,9,691,17529224,1052642
ORD,OKC,18,78006,104142,1071,693,17529224,1052642
ORD,SFO,160,1050333,1450210,7385,1846,17529224,7996466
MDW,SFO,13,77995,121646,561,1854,17529224,7996466
ORD,TVC,21,51085,80174,1422,224,17529224,123663
MDW,SPS,1,162,173,1,795,17529224,147313
MWA,CGI,12,1526,4883,257,48,61348,87838
CMI,CGI,1,12,19,1,206,200333,87838
ORD,GJT,2,200,278,2,1100,17529224,112899
ORD,SLC,96,354779,484243,3440,1249,17529224,906185
SPI,SLC,1,108,124,1,1176,204012,906185
MDW,FLL,16,75949,98271,565,1166,17529224,4691519
ORD,FLL,57,202337,253555,1779,1182,17529224,4691519
ORD,PBI,35,92790,123243,891,1144,17529224,4691519
ORD,COS,25,85880,116328,738,911,17529224,510597
MDW,COS,3,681,865,5,917,17529224,510597
